Episode,Date,Guests (Himself/Herself - Role),References
1x01,2008-09-24,0smmr1o3:Keith Lemon (Himself - Host);rasf33l1:Paddy McGuinness (Himself);j4x51a23:Laurence Llewelyn-Bowen (Himself);2ezomgpt:Rav Singh (Himself);qgikc84j:Dermot O'Leary (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);,
1x02,2008-10-01,yz5igyqe:Peter Andre (Himself);h663jn38:Rufus Hound (Himself);ikv6fsuk:Katy Brand (Herself);gdj6om5g:Katie Price (Herself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
1x03,2008-10-08,0ebid0n7:Chico Slimani (Himself);1rtqz52s:Russell Kane (Himself);l2nlnoss:Dave Berry (Himself);ox4m2kb3:Gareth Gates (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
1x04,2008-10-15,5yw66sca:Tim Vine (Himself);1m3vw7b3:Lee Ryan (Himself);djszfogi:Jack Whitehall (Himself);hte51vd7:Emma Bunton (Herself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
1x05,2008-10-22,h3jvd5mj:Jason Byrne (Himself);3p2e3gxk:Kerry Katona (Herself);couz67q8:Rob Rouse (Himself);d5pakaaf:David Gest (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
1x06,2008-10-29,0mldo92l:Calum Best (Himself);h663jn38:Rufus Hound (Himself);29crsgwm:Eamonn Holmes (Himself);6egq5ot8:Stephen K. Amos (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
1x07,2008-11-05,j9nk18ol:John Bishop (Himself);sxo4017o:Verne Troyer (Himself);qkqaoamt:Shaun Williamson (Himself);33nbc2z1:Darren Jeffries (Himself);kp38l2in:Matt Littler (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
1x08,2008-11-12,luynjnx4:Andrew Maxwell (Himself);f2wyxkd0:Antony Cotton (Himself);2ycshwu5:Alex Zane (Himself);23ufw09i:Tara Palmer-Tomkinson (Herself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x01,2009-02-25,ms58xczj:Coolio (Himself);vvpc2276:Sara Cox (Herself);bfque3ek:Kevin Bishop (Himself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x02,2009-03-04,m2k80giu:Scott Mills (Himself);qkfe0j6n:Rob Deering (Himself);ljv92t17:Joe Swash (Himself);h663jn38:Rufus Hound (Himself);j913kg9w:Peaches Geldof (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x03,2009-03-11,mbn8u12z:Louis Walsh (Himself);luynjnx4:Andrew Maxwell (Himself);bmk3s74y:Jodie Marsh (Herself);h663jn38:Rufus Hound (Himself);j913kg9w:Peaches Geldof (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x04,2009-03-18,l2nlnoss:Dave Berry (Himself);brvcn7yz:David Van Day (Himself);c1p6witn:Chanelle Hayes (Herself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x05,2009-03-25,xjxkiogd:Thomas Turgoose (Himself);rvf5audn:Dominic Wood (Himself);9xqch9w9:Richard McCourt (Himself);1uesdshd:Carol McGiffin (Herself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x06,2009-04-01,5x3slix2:Anton du Beke (Himself);9f1wwhyj:Heidi Range (Herself);2ycshwu5:Alex Zane (Himself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x07,2009-04-08,sn5wg8yd:Kirsty Gallacher (Herself);5g8z74ie:Darryn Lyons (Himself);44y40wje:George Lamb (Himself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x08,2009-04-15,8kk9kqxv:Christopher Biggins (Himself);adwy1gkx:Lauren Laverne (Herself);gsl7kii2:Matt Edmondson (Himself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x09,2009-04-22,1epv3lho:Tim Lovejoy (Himself);2h5rlk6h:Iain Lee (Himself);nux420y4:Brigitte Nielsen (Herself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
2x10,2009-04-29,dyz32ibc:Tito Jackson (Himself);rasf33l1:Paddy McGuinness (Himself);acajgupg:Claudia Winkleman (Herself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
3x01,2010-03-18,g5vdpbw6:Craig Gazey (Himself);l2nlnoss:Dave Berry (Himself);an7sb5fe:Abbey Clancy (Herself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
3x02,2010-03-25,rasf33l1:Paddy McGuinness (Himself);qgrc9bij:Louie Spence (Himself);8cde90br:Louise Redknapp (Herself);mbn8u12z:Louis Walsh (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
3x03,2010-04-01,vukan7kq:Jack P. Shepherd (Himself);f4smemcx:Jason Gardiner (Himself);b1w1ckko:Mark Rhodes (Himself);g9nfh43g:Sam Nixon (Himself);h663jn38:Rufus Hound (Himself);1vem5ucx:Fearne Cotton (Herself - Team Captain);vssxz2dy:Holly Willoughby (Herself - Team Captain);0smmr1o3:Keith Lemon (Himself - Host);,
